iter	RMSE
773	12395.32466
774	12394.2876
775	12393.41798
776	12391.25923
777	12381.15732
778	12380.72737
779	12361.19529
780	12357.33022
781	12342.59672
782	12330.93596
783	12326.30467
784	12324.225
785	12310.41339
786	12308.58171
787	12294.35065
788	12282.32036
789	12277.24157
790	12266.19773
791	12258.10343
792	12257.59549
793	12250.16982
794	12236.21586
795	12230.5875
796	12218.66624
797	12211.73788
798	12200.46799
799	12190.53113
800	12177.68701
801	12167.58465
802	12164.26366
803	12153.07364
804	12152.30401
805	12145.02752
806	12132.03853
807	12123.22139
808	12119.44823
809	12108.11949
810	12104.81467
811	12103.84545
812	12103.48082
813	12101.02321
814	12096.31331
815	12087.99521
816	12070.55636
817	12064.80396
818	12058.62518
819	12055.17152
820	12053.05119
821	12043.90333
822	12031.22906
823	12024.86632
824	12016.75368
825	12012.17188
826	11995.22231
827	11994.82515
828	11986.27346
829	11980.81252
830	11975.00114
831	11971.72393
832	11958.94692
833	11948.1022
834	11929.55437
835	11924.15682
836	11910.65323
837	11897.12315
838	11892.83357
839	11891.60718
840	11883.41195
841	11874.31169
842	11862.24113
843	11846.52099
844	11843.92005
845	11841.9182
846	11836.32788
847	11834.47472
848	11823.58908
849	11818.60107
850	11813.35662
851	11813.0242
852	11804.31975
853	11800.23449
854	11797.36972
855	11793.54097
856	11790.73916
857	11781.79458
858	11770.17864
859	11763.79981
860	11763.0756
861	11750.1862
862	11749.4459
863	11747.14716
864	11744.75361
865	11737.38987
866	11733.91752
867	11732.56831
868	11723.45578
869	11718.86038
870	11713.74464
871	11699.2131
872	11691.82683
873	11691.51203
874	11688.6753
875	11677.8104
876	11665.6779
877	11661.15141
878	11656.50366
879	11648.12196
880	11647.09501
881	11640.78611
882	11640.47061
883	11633.44317
884	11625.8432
885	11625.32505
886	11616.35993
887	11610.17151
888	11604.00462
889	11592.95587
890	11584.96407
891	11578.37187
892	11570.5794
893	11566.62868
894	11559.30291
895	11557.7182
896	11545.00592
897	11534.26748
898	11525.46173
899	11523.58319
900	11518.64537
901	11518.19353
902	11510.11423
903	11504.79017
904	11503.85793
905	11503.20239
906	11495.32365
907	11489.94238
908	11479.54901
909	11472.36915
910	11469.61214
911	11465.65738
912	11459.45029
913	11451.1595
914	11438.75653
915	11437.31928
916	11428.36983
917	11420.45775
918	11412.83576
919	11403.49927
920	11402.68768
921	11391.86722
922	11379.99918
923	11376.7868
924	11369.14972
925	11363.49671
926	11358.65372
927	11355.90136
928	11349.1272
929	11341.33276
930	11336.44431
931	11333.96074
932	11328.94719
933	11322.80081
934	11320.91561
935	11317.36824
936	11311.02933
937	11303.09006
938	11296.43181
939	11284.1469
940	11279.56798
941	11273.28338
942	11268.444
943	11268.16232
944	11259.44552
945	11247.08183
946	11242.86711
947	11233.16853
948	11229.1973
949	11224.18504
950	11216.47905
951	11208.53406
952	11196.69135
953	11196.18387
954	11191.42711
955	11189.31812
956	11180.39362
957	11174.88676
958	11174.51895
959	11174.34413
960	11166.84215
961	11153.98661
962	11149.62826
963	11143.47415
964	11138.54061
965	11137.76668
966	11134.54216
967	11126.80512
968	11115.00986
969	11110.89557
970	11110.14995
971	11109.88336
972	11106.92818
973	11100.58718
974	11091.4049
975	11088.12175
976	11087.21441
977	11077.17538
978	11068.85999
979	11060.75142
980	11053.57278
981	11040.26605
982	11037.04733
983	11025.72166
984	11020.55371
985	11013.41317
986	11010.40647
987	11001.4184
988	10995.25872
989	10988.27548
990	10980.25642
991	10971.07215
992	10966.81967
993	10964.12225
994	10959.8884
995	10956.82021
996	10954.42461
997	10947.56339
998	10937.69836
999	10937.06774
1000	10932.52841
1001	10923.92504
1002	10917.4899
1003	10911.94371
1004	10906.03916
1005	10894.46191
1006	10893.86848
1007	10885.51836
1008	10885.32685
1009	10881.3489
1010	10874.56304
1011	10871.72745
1012	10864.71922
1013	10862.78641
1014	10858.62692
1015	10854.22185
1016	10854.04161
1017	10840.58887
1018	10840.1464
1019	10838.51322
1020	10834.29269
1021	10828.92728
1022	10828.75312
1023	10828.52486
1024	10825.20061
1025	10818.30459
1026	10814.54966
1027	10805.8767
1028	10798.05198
1029	10789.16782
1030	10787.75561
1031	10784.94496
1032	10775.58582
1033	10763.74413
1034	10758.44809
1035	10752.1908
