iter	Passed	Remaining
700	12500	59164
701	12515	59135
702	12532	59111
703	12544	59068
704	12558	59030
705	12573	59000
706	12591	58979
707	12610	58969
708	12629	58957
709	12641	58908
710	12658	58888
711	12678	58877
712	12694	58851
713	12713	58839
714	12728	58808
715	12743	58779
716	12757	58740
717	12772	58708
718	12791	58699
719	12807	58673
720	12822	58641
721	12839	58616
722	12855	58589
723	12869	58558
724	12885	58531
725	12901	58504
726	12914	58464
727	12932	58444
728	12945	58404
729	12960	58375
730	12978	58360
731	13000	58357
732	13014	58325
733	13036	58325
734	13048	58279
735	13063	58249
736	13081	58234
737	13098	58211
738	13114	58186
739	13132	58167
740	13151	58153
741	13165	58121
742	13180	58089
743	13196	58065
744	13214	58047
745	13242	58073
746	13256	58038
747	13274	58021
748	13290	57996
749	13303	57955
750	13320	57936
751	13339	57922
752	13353	57890
753	13370	57868
754	13384	57831
755	13400	57808
756	13419	57796
757	13431	57751
758	13445	57717
759	13459	57684
760	13473	57650
761	13488	57618
762	13500	57577
763	13512	57535
764	13530	57519
765	13543	57478
766	13556	57443
767	13568	57399
768	13582	57366
769	13595	57327
770	13610	57297
771	13624	57263
772	13637	57226
773	13657	57220
774	13672	57188
775	13688	57166
776	13703	57137
777	13718	57106
778	13733	57078
779	13745	57035
780	13759	57003
781	13770	56960
782	13783	56922
783	13797	56886
784	13812	56859
785	13824	56816
786	13838	56786
787	13850	56744
788	13864	56713
789	13878	56680
790	13892	56648
791	13907	56620
792	13923	56592
793	13934	56551
794	13947	56513
795	13961	56479
796	13973	56440
797	13987	56407
798	14000	56371
799	14012	56332
800	14024	56293
801	14038	56258
802	14049	56214
803	14060	56172
804	14075	56143
805	14090	56114
806	14105	56089
807	14119	56054
808	14134	56028
809	14146	55991
810	14161	55959
811	14174	55926
812	14187	55891
813	14203	55868
814	14222	55855
815	14234	55816
816	14246	55776
817	14257	55732
818	14270	55700
819	14285	55670
820	14301	55649
821	14314	55612
822	14327	55576
823	14340	55543
824	14353	55508
825	14366	55475
826	14380	55441
827	14393	55408
828	14406	55373
829	14418	55334
830	14430	55296
831	14444	55266
832	14457	55231
833	14471	55199
834	14483	55164
835	14502	55152
836	14516	55122
837	14529	55086
838	14543	55054
839	14555	55018
840	14569	54988
841	14582	54954
842	14599	54935
843	14611	54898
844	14626	54869
845	14640	54840
846	14652	54803
847	14666	54772
848	14677	54733
849	14692	54705
850	14709	54686
851	14726	54670
852	14740	54639
853	14754	54609
854	14768	54579
855	14781	54547
856	14795	54514
857	14809	54484
858	14819	54443
859	14831	54406
860	14845	54375
861	14857	54338
862	14871	54309
863	14885	54279
864	14901	54258
865	14916	54233
866	14929	54200
867	14946	54179
868	14958	54144
869	14971	54112
870	14986	54087
871	14998	54050
872	15011	54017
873	15024	53984
874	15036	53947
875	15048	53913
876	15060	53877
877	15074	53848
878	15086	53812
879	15099	53780
880	15122	53783
881	15134	53748
882	15149	53719
883	15162	53688
884	15175	53656
885	15188	53623
886	15204	53603
887	15218	53576
888	15232	53545
889	15245	53515
890	15258	53481
891	15271	53451
892	15281	53409
893	15295	53379
894	15307	53345
895	15320	53313
896	15332	53276
897	15344	53243
898	15356	53207
899	15369	53174
900	15382	53143
901	15395	53114
902	15408	53081
903	15420	53046
904	15432	53011
905	15444	52976
906	15456	52941
907	15469	52910
908	15482	52880
909	15496	52853
910	15511	52827
911	15527	52806
912	15539	52773
913	15554	52749
914	15566	52713
915	15580	52685
916	15593	52657
917	15607	52629
918	15621	52602
919	15635	52574
920	15649	52545
921	15662	52516
922	15674	52482
923	15689	52458
924	15703	52429
925	15717	52401
926	15731	52375
927	15749	52360
928	15766	52344
929	15779	52314
930	15793	52288
931	15807	52260
932	15820	52230
933	15834	52202
934	15846	52170
935	15858	52137
936	15872	52108
937	15885	52080
938	15897	52046
939	15912	52021
940	15924	51988
941	15936	51956
942	15948	51922
943	15962	51893
944	15976	51868
945	15988	51835
946	16000	51801
947	16013	51772
948	16026	51742
949	16039	51714
950	16053	51685
951	16064	51651
952	16080	51629
953	16092	51597
954	16105	51568
955	16120	51544
956	16134	51518
957	16151	51502
958	16165	51475
959	16186	51471
960	16199	51443
961	16213	51414
962	16226	51386
963	16239	51357
964	16251	51324
965	16263	51292
966	16276	51263
967	16292	51243
968	16306	51216
969	16319	51187
970	16333	51162
971	16333	51162
972	16350	51128
973	16364	51104
974	16377	51074
975	16394	51057
976	16408	51031
977	16421	51004
978	16433	50971
979	16446	50942
980	16459	50913
981	16470	50877
982	16482	50847
983	16496	50821
984	16514	50806
985	16528	50780
986	16544	50762
987	16556	50731
988	16570	50705
989	16582	50673
990	16594	50643
991	16607	50613
992	16619	50581
993	16631	50549
994	16641	50512
995	16655	50486
996	17471	52890
997	17485	52861
998	17497	52825
999	17510	52795
1000	17525	52770
1001	17538	52739
1002	17538	52739
1003	17554	52698
1004	17567	52667
1005	17581	52639
1006	17593	52603
1007	17606	52574
1008	17621	52547
1009	17634	52516
1010	17646	52483
1011	17661	52457
1012	17675	52429
1013	17687	52396
1014	17701	52367
1015	17715	52339
1016	17729	52310
1017	17742	52280
1018	17758	52259
1019	17774	52237
1020	17785	52200
1021	17801	52176
1022	17814	52148
1023	17828	52119
1024	17842	52091
1025	17856	52062
1026	17869	52033
1027	17883	52004
1028	17895	51971
1029	17909	51943
1030	17928	51932
1031	17943	51907
1032	17957	51878
1033	17974	51859
1034	17989	51836
1035	18002	51804
1036	18021	51791
1037	18037	51770
1038	18054	51752
1039	18070	51728
1040	18084	51702
1041	18098	51675
1042	18112	51648
1043	18131	51634
1044	18951	53899
1045	18967	53875
1046	18983	53850
1047	19002	53835
1048	19019	53811
1049	19035	53788
1050	19054	53772
1051	19067	53739
1052	19080	53706
1053	19100	53693
1054	19115	53665
1055	19130	53638
1056	19146	53614
1057	19162	53590
1058	19177	53562
1059	19191	53530
1060	19206	53506
1061	19221	53478
1062	19232	53439
1063	19245	53407
1064	19259	53376
1065	19271	53342
1066	19284	53310
1067	19298	53281
1068	19311	53246
1069	19325	53217
1070	19336	53179
1071	19350	53149
1072	19362	53116
1073	19374	53080
1074	19390	53055
1075	19404	53025
1076	19417	52994
1077	19431	52965
1078	19443	52930
1079	19456	52898
1080	19469	52865
1081	19481	52832
1082	19494	52799
1083	19508	52769
1084	19521	52738
1085	19535	52708
1086	19546	52673
1087	19560	52644
1088	19575	52616
1089	19588	52586
1090	19602	52556
1091	19617	52531
1092	19631	52500
1093	19649	52483
1094	19664	52456
1095	19675	52420
1096	19689	52391
1097	19702	52360
1098	19717	52333
1099	19731	52304
1100	19743	52269
1101	19758	52244
1102	19776	52226
1103	19789	52194
1104	19800	52159
1105	19814	52130
1106	19827	52098
1107	19841	52069
1108	19854	52039
1109	19866	52004
1110	19882	51981
1111	19896	51954
1112	19908	51920
1113	19924	51896
1114	19938	51869
1115	19953	51841
1116	19970	51821
1117	19985	51795
1118	19997	51764
1119	20011	51734
1120	20027	51712
1121	20040	51682
1122	20054	51653
1123	20066	51619
1124	20077	51584
1125	20090	51554
1126	20105	51529
1127	20119	51501
